OrderID,OrderDate,CustomerName,ProductName,Category,SalesLocation,Quantity,UnitPrice,TotalRevenue
1,1/30/2025,Steven Wilson,Urban Classic Jeans,Fashion,"Chicago, IL",1,79.6,79.6
2,7/22/2025,William Davis,Urban Classic Jeans,Fashion,"Orlando, FL",5,66.53,266.1
3,8/2/2024,Andrew Moore,ZenLife Yoga Mat,Sports & Fitness,"Chicago, IL",5,45.61,228.05
4,9/9/2024,Sarah Miller,PureGlow Skincare Set,Beauty,"Seattle, WA",5,60.21,301.05
5,1/29/2024,Thomas Hernandez,ZenLife Yoga Mat,Sports & Fitness,"Phoenix, AZ",5,63.9,303.5
6,8/4/2024,Sarah Thomas,Aurora Smartphone X1,Electronics,"San Antonio, TX",5,370.44,1852.2
7,3/31/2024,Linda Williams,Pulse Wireless Earbuds,Electronics,"San Antonio, TX",2,162.19,324.38
8,8/7/2024,James Jones,Pulse Wireless Earbuds,Electronics,"Denver, CO",2,98.55,177.38
9,12/13/2024,Richard Martin,PureGlow Skincare Set,Beauty,"Chicago, IL",1,82.87,82.87
10,2/27/2024,Mark Taylor,NutriMax Blender,Home Appliances,"Philadelphia, PA",4,146.61,557.12
11,8/16/2024,Mary Brown,Urban Classic Jeans,Fashion,"Austin, TX",4,55.44,177.4
12,10/31/2024,Jennifer Smith,Nebula Laptop Pro,Electronics,"Dallas, TX",1,964.18,915.97
13,12/23/2024,Michael Smith,GlowAir Standing Fan,Home Appliances,"San Jose, CA",4,128.99,515.96
14,11/28/2025,Barbara Lopez,ZenLife Yoga Mat,Sports & Fitness,"San Diego, CA",4,53.38,213.52
15,7/19/2024,Steven Smith,PureGlow Skincare Set,Beauty,"Boston, MA",1,73.05,65.75
16,8/16/2025,Mark Jones,Pulse Wireless Earbuds,Electronics,"Philadelphia, PA",3,98.26,265.29
17,9/7/2024,Mark Lopez,Nebula Laptop Pro,Electronics,"San Francisco, CA",5,839.67,3988.45
18,8/11/2024,James Williams,FreshBrew Coffee Maker,Home Appliances,"San Francisco, CA",1,122.27,110.04
19,4/5/2025,Susan Williams,PureGlow Skincare Set,Beauty,"Boston, MA",1,102.76,97.62
20,12/9/2025,Anthony Hernandez,Aurora Smartphone X1,Electronics,"Boston, MA",5,494.7,2349.8
21,12/14/2025,Joseph Williams,Urban Classic Jeans,Fashion,"Phoenix, AZ",2,68.29,136.58
22,11/15/2025,Richard Martin,PureGlow Skincare Set,Beauty,"Las Vegas, NV",5,70.02,297.6
23,12/13/2024,Anthony Gonzalez,NutriMax Blender,Home Appliances,"Los Angeles, CA",2,109.96,208.92
24,2/23/2024,Patricia Wilson,Pulse Wireless Earbuds,Electronics,"New York, NY",4,147.76,502.4
25,7/25/2024,Sarah Johnson,PureGlow Skincare Set,Beauty,"Miami, FL",5,76.16,342.7
26,12/4/2025,Steven Martin,Pulse Wireless Earbuds,Electronics,"Philadelphia, PA",4,131.53,473.52
27,3/10/2025,Richard Jones,Nebula Laptop Pro,Electronics,"Miami, FL",2,1454.48,2763.52
28,7/16/2025,Elizabeth Williams,NutriMax Blender,Home Appliances,"San Jose, CA",1,104.9,104.9
29,3/9/2024,Joshua Martinez,NutriMax Blender,Home Appliances,"Portland, OR",2,140.82,281.64
30,4/4/2024,James Smith,Pulse Wireless Earbuds,Electronics,"Orlando, FL",3,135.44,365.7
31,7/13/2024,Karen Smith,NutriMax Blender,Home Appliances,"Chicago, IL",3,99.48,298.44
32,1/5/2024,Mark Hernandez,ZenLife Yoga Mat,Sports & Fitness,"Las Vegas, NV",2,64.51,129.02
33,8/20/2024,Richard Martin,Urban Classic Jeans,Fashion,"Phoenix, AZ",4,51.62,206.48
34,4/30/2024,Andrew Gonzalez,ZenLife Yoga Mat,Sports & Fitness,"Miami, FL",3,79.13,237.39
35,1/8/2024,Barbara Gonzalez,ZenLife Yoga Mat,Sports & Fitness,"New York, NY",1,68.81,55.05
36,4/18/2025,Daniel Lopez,NutriMax Blender,Home Appliances,"Atlanta, GA",4,130.31,495.16
37,1/7/2024,Donald Taylor,ZenLife Yoga Mat,Sports & Fitness,"Las Vegas, NV",3,72.84,207.6
38,1/15/2024,Susan Brown,Nebula Laptop Pro,Electronics,"Chicago, IL",1,1414.1,1414.1
39,3/26/2024,Joshua Martinez,GlowAir Standing Fan,Home Appliances,"San Antonio, TX",2,176.24,352.48
40,1/28/2025,Jessica Rodriguez,Summit Running Shoes,Fashion,"Houston, TX",3,110.06,313.68
41,9/14/2025,James Smith,Summit Running Shoes,Fashion,"Los Angeles, CA",1,72.17,72.17
42,10/8/2024,Anthony Hernandez,Urban Classic Jeans,Fashion,"Portland, OR",2,52.04,98.88
43,3/12/2025,Elizabeth Johnson,FreshBrew Coffee Maker,Home Appliances,"New York, NY",5,186.11,930.55
44,8/30/2024,Paul Rodriguez,Summit Running Shoes,Fashion,"Dallas, TX",5,81.61,408.05
45,1/4/2024,Karen Thomas,Nebula Laptop Pro,Electronics,"Austin, TX",1,1347.5,1212.75
46,12/15/2025,Thomas Hernandez,PureGlow Skincare Set,Beauty,"Miami, FL",2,81.26,146.26
47,12/24/2025,William Jones,FreshBrew Coffee Maker,Home Appliances,"Houston, TX",1,167.56,159.18
